2015-12-28 10:44:46
total	npositive	npositive_recognize	npositive_not_recognize	false_positive	nnegative	nnegative_recognize	nnegative_not_recognize	false_negative
10000	462	464	8	10	501	490	21	10
10000	501	495	16	10	489	491	13	15
10000	493	483	20	10	477	473	12	8
10000	488	487	11	10	530	524	13	7
10000	467	463	11	7	514	500	19	5
10000	490	489	15	14	510	501	20	11
10000	500	491	14	5	513	509	11	7
10000	491	492	10	11	494	486	16	8
10000	510	502	13	5	488	480	15	7
10000	487	479	18	10	529	527	9	7
10000	470	476	6	12	486	490	10	14
10000	507	509	9	11	518	513	10	5
10000	489	483	13	7	499	495	13	9
10000	507	498	22	13	507	500	16	9
10000	527	517	17	7	507	508	9	10
10000	481	480	15	14	489	476	16	3
10000	481	481	10	10	481	482	14	15
10000	508	504	13	9	497	492	18	13
10000	483	479	11	7	444	442	11	9
10000	484	477	15	8	457	457	17	17
10000	510	510	9	9	513	517	11	15
10000	514	512	10	8	510	506	14	10
10000	494	493	10	9	526	530	15	19
10000	493	485	13	5	471	472	13	14
10000	494	485	15	6	521	514	16	9
10000	461	454	12	5	528	524	14	10
10000	524	523	11	10	510	502	12	4
10000	498	500	11	13	479	476	13	10
10000	518	518	15	15	477	478	11	12
10000	472	468	13	9	510	509	9	8
10000	476	474	13	11	474	460	18	4
10000	493	491	13	11	514	511	15	12
10000	500	490	17	7	536	541	17	22
10000	486	480	11	5	514	511	11	8
10000	477	472	11	6	514	521	10	17
10000	512	507	13	8	459	464	7	12
10000	490	490	9	9	480	474	15	9
10000	488	479	16	7	477	469	20	12
10000	495	494	14	13	485	476	19	10
10000	503	492	17	6	477	474	9	6
10000	459	458	13	12	474	464	16	6
10000	462	455	13	6	511	507	13	9
10000	503	502	12	11	467	465	10	8
10000	502	509	8	15	499	495	14	10
10000	517	506	21	10	498	490	13	5
10000	511	501	19	9	499	498	14	13
10000	515	513	14	12	488	490	15	17
10000	498	492	18	12	488	483	12	7
10000	496	494	13	11	485	471	17	3
10000	467	466	9	8	498	494	15	11
10000	493	489	14	10	505	500	11	6
10000	472	466	12	6	531	529	9	7
10000	506	491	23	8	508	496	18	6
10000	494	497	8	11	500	491	18	9
10000	529	517	19	7	474	464	19	9
10000	489	480	14	5	508	499	17	8
10000	514	500	21	7	512	505	13	6
10000	531	533	6	8	507	501	18	12
10000	522	515	17	10	493	487	13	7
10000	534	536	3	5	497	494	11	8
10000	525	529	14	18	469	457	16	4
10000	506	498	17	9	502	496	16	10
10000	471	458	20	7	482	480	13	11
10000	492	496	8	12	515	516	10	11
10000	501	497	12	8	509	504	13	8
10000	486	481	11	6	519	519	11	11
10000	483	486	12	15	494	489	14	9
10000	511	498	20	7	529	516	21	8
10000	528	520	16	8	518	519	13	14
10000	476	466	17	7	499	496	11	8
10000	498	495	11	8	510	507	12	9
10000	514	508	14	8	496	498	11	13
10000	463	467	7	11	516	515	15	14
10000	504	491	20	7	516	514	12	10
10000	485	478	13	6	445	445	13	13
10000	510	506	14	10	518	508	14	4
10000	527	517	16	6	471	473	13	15
10000	489	485	18	14	489	480	17	8
10000	501	499	14	12	519	520	13	14
10000	475	476	9	10	498	497	14	13
10000	531	529	14	12	472	476	10	14
10000	490	490	12	12	480	477	14	11
10000	501	487	22	8	518	517	13	12
10000	473	471	15	13	509	499	16	6
10000	539	539	13	13	473	466	13	6
10000	514	511	15	12	491	489	11	9
10000	491	485	19	13	490	482	13	5
10000	463	457	15	9	524	525	17	18
10000	485	476	15	6	502	488	24	10
10000	513	515	10	12	498	489	19	10
10000	483	480	11	8	523	526	5	8
10000	510	503	13	6	495	488	14	7
10000	461	460	16	15	475	476	8	9
10000	513	506	18	11	456	463	8	15
10000	503	506	7	10	479	475	16	12
10000	488	478	15	5	500	505	12	17
10000	455	455	10	10	501	498	9	6
10000	499	495	20	16	523	517	19	13
10000	513	509	16	12	502	502	15	15
10000	508	506	9	7	499	499	8	8
