2015-12-28 10:44:46
Rand	HA	MA	FM	Jaccard
0.990696	0.9681963	0.968197	0.9943415	0.9887459
0.9897693	0.9657825	0.9657832	0.9937391	0.987556
0.9905109	0.9676737	0.9676744	0.9942241	0.9885125
0.9922365	0.9745171	0.9745177	0.9952229	0.9904907
0.9920267	0.9730182	0.9730188	0.9951386	0.9903207
0.9886405	0.9621979	0.9621988	0.9930386	0.9861725
0.9929886	0.9768573	0.9768578	0.9956935	0.9914222
0.9914663	0.9713235	0.9713242	0.9947849	0.9896234
0.9924156	0.97467	0.9746705	0.995358	0.9907561
0.9916745	0.9726053	0.972606	0.9948811	0.9898133
0.992024	0.9727876	0.9727882	0.9951468	0.9903394
0.9933735	0.9783848	0.9783853	0.9959147	0.9918625
0.9920337	0.9732593	0.9732599	0.9951304	0.990307
0.9886477	0.9625161	0.9625169	0.9930279	0.9861496
0.9918645	0.9735712	0.9735718	0.9949784	0.9900062
0.9908909	0.9689687	0.9689693	0.9944555	0.9889701
0.9907013	0.9683105	0.9683111	0.9943396	0.9887428
0.9899658	0.966739	0.9667398	0.9938437	0.9877619
0.9927692	0.9746141	0.9746146	0.9956337	0.991305
0.9891774	0.9624058	0.9624066	0.9934464	0.9869777
0.9916744	0.9728704	0.972871	0.9948656	0.9897834
0.9920506	0.9740247	0.9740253	0.9951017	0.9902508
0.9899721	0.9672435	0.9672443	0.9938202	0.9877162
0.9914589	0.9708487	0.9708493	0.9948032	0.9896597
0.9912872	0.9712511	0.9712518	0.9946482	0.9893506
0.9922188	0.9738875	0.9738881	0.9952433	0.9905304
0.9929966	0.9772486	0.9772491	0.9956772	0.9913908
0.9910855	0.9699337	0.9699344	0.9945576	0.9891742
0.9899593	0.9665974	0.9665981	0.9938457	0.9877668
0.9926024	0.975104	0.9751045	0.995481	0.9910025
0.9912585	0.9697411	0.9697418	0.9947028	0.9894587
0.9903432	0.9680803	0.968081	0.9940701	0.9882098
0.9880952	0.9614296	0.9614305	0.9926452	0.9853976
0.9933621	0.977918	0.9779185	0.9959318	0.9918958
0.9916566	0.9721742	0.9721749	0.9948899	0.9898317
0.992407	0.9742854	0.974286	0.9953697	0.9907822
0.9920284	0.9729245	0.9729251	0.9951431	0.9903328
0.9895637	0.9642728	0.9642736	0.9936566	0.98739
0.9893844	0.9641569	0.9641577	0.9935216	0.9871255
0.9927855	0.9756045	0.975605	0.9955997	0.9912359
0.9910629	0.9687117	0.9687124	0.9945999	0.9892565
